Team,Year,Champion_Prob
Argentina,2022,0.9283035493210454
Brazil,2022,0.8043798669028653
Switzerland,2022,0.2799991163617498
Japan,2022,0.21073385581762988
South Korea,2022,0.1551773324374744
Mexico,2022,0.14846061895264578
Ghana,2022,0.10489138142033076
Portugal,2022,0.08776377319111521
Qatar,2022,0.08106311254473156
Germany,2022,0.07910212850704691
Ukraine,2022,0.07896365982499788
Serbia,2022,0.0788272132377308
Belgium,2022,0.07398139708963591
Canada,2022,0.061347364668512795
Morocco,2022,0.0560129061778983
Colombia,2022,0.03456212078944637
Iran,2022,0.024659813943920243
Peru,2022,0.013548184973664537
Denmark,2022,0.010896555586580049
Netherlands,2022,0.004169917421769138
Nigeria,2022,0.0040414220371148045
Ecuador,2022,0.004030379713346481
Sweden,2022,0.0011654799861713218
